ID,Nume,Nr_Camere,Metri_Patrati,Pret,Localizare
A3B00I5V1DV, Apartament 2 camere complet mobilat bloc nou ,2 camere,49 mp utili,47.500 EUR,"Bucuresti, Sector 4, zona Berceni "
5P700HT1IFU," garsoniera, Doamna Ghica, decomandat, etaj 1/3, finisaje la alegere, imobil nou ",o cameră,28 mp utili,40.000 EUR,"Bucuresti, Sector 2, zona Doamna Ghica (Colentina) "
17L10005PAM, Super Oferta!!! Vanzare apartament 3 camere 13 Septembrie-Odobleja ,3 camere,80 mp utili,74.000 EUR,"Bucuresti, zona 13 Septembrie "
70G00I6S37I, Vanzare Garsoniera Lacul Tei - Parc - Facultatea de Constructii ,o cameră,28 mp utili,31.500 EUR,"Bucuresti, Sector 2, zona Lacul Tei (Tei) "
3HJ10I62PRD, Apartament de vânzare 2 camere ,2 camere,51 mp utili,74.000 EUR,"Bucuresti, Sector 4, zona Tineretului "
9VB00I0O49B, Apartament 4 camere - B 4.3 ,4 camere,90.83 mp utili,193.737 EUR + TVA,"Bucuresti, Sector 1, zona Iancu Nicolae (Pipera) "
9G900HG36GJ, Apartament 3 camere cu gradina si piscina zona de Nord - Padurea Baneasa ,3 camere,66 mp utili,92.250 EUR + TVA,"Bucuresti, Sector 1, zona Baneasa "
3AI10003VJ1, GARSONIERA SISESTI REZIDENTIAL ,o cameră,31 mp utili,49.000 EUR,"Bucuresti, Sector 1, zona Sisesti (Baneasa) "
77700HU5SFH, RealKom Agentie Imobiliara Apartament 3 Camere De Vanzare Bulevardul Unirii ,3 camere,81 mp utili,170.000 EUR,"Bucuresti, Sector 3, zona Unirii "
52L1000G1KS," Dorobanti Residenz, clasic si elegant ",3 camere,140 mp utili,330.000 EUR,"Bucuresti, zona Dorobanti "
A0800I1N665, Apartament 2 camere decomandat cu terasa in H Pipera Lake. Oferta promotionala! ,2 camere,52.18 mp utili,71.000 EUR + TVA,"Bucuresti, zona Aviatiei "
55I00HOJ1IG, Neofort 57 - Bloc Nou Predare Luna Aprilie 2018 Apartament 3 Camere ,3 camere,100.4 mp utili,148.523 EUR + TVA,"Bucuresti, Sector 2, zona Alba Iulia (Unirii) "
82D00I3C9S6," Apartament 4 camere, decomandat , Iancului, pozitie ideala ",4 camere,77 mp utili,115.000 EUR,"Bucuresti, Sector 2, zona Iancului "
9CF00I4KTA7," Vanzare apartament 2 camere, Tineretului - Timpuri Noi, 1980, metrou ",2 camere,45 mp utili,65.000 EUR,"Bucuresti, Sector 4, zona Tineretului "
53U00HJCDEO," Metrou Dimitrie Leonida , apartament 2 camere -direct dezvoltator  ",2 camere,47 mp utili,46.500 EUR,"Bucuresti, Sector 4, zona Berceni "
17L100067KV," Ocazie! Apartament 2 cam, renovat 2018, Dorobanti/Stefan cel Mare ",2 camere,48 mp utili,81.000 EUR,"Bucuresti, zona Dorobanti "
7Q11000015A," Apartament 2 camere,54 mp utili,decomandat,Auchan Militari ",2 camere,54.35 mp utili,48.000 EUR,"Bucuresti, zona Militari "
17L100068T6, Urgent Vanzare Apartament cu 4 camere 97mp.Sos.Iancului ,4 camere,82 mp utili,73.900 EUR,"Bucuresti, zona Iancului "
3HJ10FKED4B," Vanzare 4 camere, Unirii, 147mp, etaj 6/7, decomandat, lux. ",3 camere,147 mp utili,240.000 EUR,"Bucuresti, Sector 4, zona Unirii "
78E100009K2, VIB19858 COMISION 0 - 2 camere +parcare - terasa 23 mp Calarasilor -Delea Veche ,2 camere,55 mp utili,115.000 EUR + TVA,"Bucuresti, zona Calea Calarasilor "
4BO1000021S, Apartament cu 2 camere de vanzare in zona Matei Basarab-OVA 118821 ,2 camere,58 mp utili,88.000 EUR,"Bucuresti, zona Calea Calarasilor "
